X1,Y1,X2,Y2
0.004276557,0.142126712,0.004276557,0.696722734
0.012773529,0.142376193,0.012773529,0.696722734
0.021270502,0.142376193,0.021270502,0.696722734
0.029767474,0.142376193,0.029767474,0.696722734
0.038264447,0.142376193,0.038264447,0.696722734
0.046761419,0.142376193,0.046761419,0.696722734
0.055258392,0.142376193,0.055258392,0.696722734
0.063755365,0.142376193,0.063755365,0.696722734
0.072252337,0.142376193,0.072252337,0.696722734
0.08074931,0.142376193,0.08074931,0.696722734
0.089246282,0.142376193,0.089246282,0.696722734
0.097743255,0.142376193,0.097743255,0.696722734
0.106240227,0.142376193,0.106240227,0.696722734
0.1147372,0.142376193,0.1147372,0.697034586
0.123234173,0.142376193,0.123234173,0.700652058
0.131731145,0.142376193,0.131731145,0.710381813
0.140228118,0.142376193,0.137910762,0.725812206
0.14872509,0.142376193,0.140614344,0.811296834
0.191209953,0.142376193,0.142104073,0.829624769
0.199706926,0.142376193,0.148338864,0.849305248
0.208203898,0.142376193,0.156449611,0.859446646
0.216700871,0.142376193,0.164946583,0.862502787
0.225197843,0.142376193,0.173443556,0.862752268
0.233694816,0.142376193,0.181940528,0.862752268
0.242191789,0.142376193,0.190437501,0.862752268
0.250688761,0.142376193,0.198934474,0.862752268
0.259185734,0.142376193,0.207431446,0.862752268
0.267682706,0.142376193,0.215928419,0.862752268
0.276179679,0.142376193,0.224425391,0.862752268
0.284676651,0.142376193,0.232922364,0.862752268
0.293173624,0.142376193,0.241419336,0.862752268
0.301670597,0.142376193,0.249916309,0.862752268
0.310167569,0.142376193,0.258413282,0.862752268
0.318664542,0.142376193,0.266910254,0.862752268
0.327161514,0.142376193,0.275407227,0.862752268
0.335658487,0.142376193,0.283904199,0.862752268
0.344155459,0.142376193,0.292401172,0.862752268
0.352652432,0.142376193,0.300898144,0.862752268
0.361149404,0.142376193,0.309395117,0.862752268
0.369646377,0.142376193,0.31789209,0.862752268
0.37814335,0.142376193,0.326389062,0.862752268
0.386640322,0.142376193,0.334886035,0.862752268
0.395137295,0.142376193,0.343383007,0.862752268
0.403634267,0.142376193,0.35187998,0.862752268
0.41213124,0.142376193,0.360376952,0.862752268
0.420628212,0.142376193,0.368873925,0.862752268
0.429125185,0.142376193,0.377370898,0.862752268
0.437622158,0.142376193,0.38586787,0.862752268
0.44611913,0.142376193,0.394364843,0.862752268
0.454616103,0.142376193,0.402861815,0.862752268
0.463113075,0.142376193,0.411358788,0.862752268
0.471610048,0.142376193,0.41985576,0.862752268
0.48010702,0.142376193,0.428352733,0.862752268
0.488603993,0.142376193,0.436849706,0.862752268
0.497100966,0.142376193,0.445346678,0.862752268
0.505597938,0.142376193,0.453843651,0.862752268
0.514094911,0.142376193,0.462340623,0.862752268
0.522591883,0.142376193,0.470837596,0.862752268
0.531088856,0.142376193,0.479334568,0.862752268
0.539585828,0.142376193,0.487831541,0.862752268
0.548082801,0.142376193,0.496328514,0.862752268
0.556579774,0.142376193,0.504825486,0.862752268
0.565076746,0.142376193,0.513322459,0.862752268
0.573573719,0.142376193,0.521819431,0.862752268
0.582070691,0.142376193,0.530316404,0.862752268
0.590567664,0.142376193,0.538813376,0.862752268
0.599064636,0.142376193,0.547310349,0.862752268
0.607561609,0.142376193,0.555807322,0.862752268
0.616058582,0.142376193,0.564304294,0.862752268
0.624555554,0.142376193,0.572801267,0.862752268
0.633052527,0.142376193,0.581298239,0.862752268
0.641549499,0.142376193,0.589795212,0.862752268
0.650046472,0.142376193,0.598292184,0.862752268
0.658543444,0.142376193,0.606789157,0.862752268
0.667040417,0.142376193,0.61528613,0.862752268
0.67553739,0.142376193,0.623783102,0.862752268
0.684034362,0.142376193,0.632280075,0.862752268
0.692531335,0.142376193,0.640777047,0.862752268
0.701028307,0.142376193,0.64927402,0.862752268
0.70952528,0.142376193,0.657770992,0.862752268
0.718022252,0.142376193,0.666267965,0.862752268
0.735016198,0.142376193,0.674764938,0.862752268
0.74351317,0.142376193,0.68326191,0.862752268
0.752010143,0.142376193,0.691758883,0.862752268
0.760507115,0.142376193,0.700255855,0.862752268
0.769004088,0.142376193,0.708752828,0.862752268
0.77750106,0.142376193,0.7172498,0.862752268
0.785998033,0.142376193,0.725746773,0.862752268
0.794495006,0.142376193,0.734243746,0.862752268
0.802991978,0.142376193,0.742740718,0.862752268
0.811488951,0.142376193,0.751237691,0.862752268
0.819985923,0.142376193,0.759734663,0.862752268
0.828482896,0.142376193,0.768231636,0.862752268
0.836979868,0.142251453,0.776728608,0.862752268
0.845476841,0.1442473,0.785225581,0.862752268
0.853587588,0.154519675,0.793722554,0.862752268
0.859380978,0.170916807,0.802219526,0.862752268
0.860539656,0.242542771,0.810716499,0.862752268
0.860925882,0.264154053,0.844704389,0.862752268
0.864788142,0.285765336,0.861698334,0.862752268
0.871740211,0.299112563,0.870195307,0.862752268
0.880237183,0.306846471,0.878692279,0.862752268
0.888734156,0.308405726,0.887189252,0.862752268
0.897231128,0.308405726,0.895686224,0.862752268
0.905728101,0.308405726,0.904183197,0.862752268
0.914225074,0.308405726,0.91268017,0.862752268
0.922722046,0.308405726,0.921177142,0.862752268
0.931219019,0.308405726,0.929674115,0.862752268
0.939715991,0.308405726,0.938171087,0.862752268
0.948212964,0.308405726,0.94666806,0.862752268
0.956709936,0.308405726,0.955165032,0.862752268
0.965206909,0.308405726,0.963662005,0.862752268
0.973703882,0.308405726,0.972158977,0.862752268
0.982200854,0.308405726,0.98065595,0.862752268
0.990697827,0.308405726,0.989152923,0.862752268
0.997263669,0.308405726,0.996491217,0.862752268
